ID	GLOSS	SEMANTICFIELD	DEFINITION	ONTOLOGICAL_CATEGORY	REPLACEMENT_ID
356	SHEARS	Basic actions and technology	A tool consisting of two blades with bevel edges, connected by a pivot, used for cutting cloth, or for removing the fleece from sheep etc	Person/Thing	
357	HANG UP	Basic actions and technology	To put up to hang.	Action/Process	
358	TINPLATE	Basic actions and technology	A thin sheet of steel coated with tin to prevent rusting; used to make cans etc.	Person/Thing	
359	POTTER	Basic actions and technology	One who makes pots and other ceramic wares.	Person/Thing	
360	FAN ACTION	Basic actions and technology	To blow air on (something) by means of a fan (hand-held, mechanical or electrical) or otherwise.	Action/Process	
361	PEG	Basic actions and technology	A cylindrical wooden, metal etc. object used to fasten or as a bearing between objects.	Person/Thing	
362	STRING	Basic actions and technology	A long, thin and flexible structure made from threads twisted together.	Person/Thing	
363	DWELL (LIVE, RESIDE)	The house	To live; to reside; to remain or continue.	Action/Process	
364	SMEAR	Basic actions and technology	To spread (a substance) across a surface by rubbing.	Action/Process	
365	SPLASH	Motion	To cause a liquid to spatter about. [WN:365]	Action/Process	
366	LIMP	Motion	To walk lamely, as if favouring one leg.	Action/Process	
367	RIDE	Motion	To transport oneself by sitting on and directing an animal.	Action/Process	
368	SLEDGE	Motion	A low sled drawn by animals, typically on snow, ice or grass.	Person/Thing	16
369	OWE	Possession	To be under an obligation to give something back to someone or to perform some action for someone; to have debt.	Action/Process	
370	BARTER	Possession	To exchange goods without involving money.	Action/Process	
371	PICK UP	Spatial relations	To lift; to grasp and raise; to collect.	Action/Process	
372	POINTED	Spatial relations	Ending in an acute point.	Property	
373	LONG AGO	Time	At a time in the past, especially the distant past.	Other	
374	ONE TIME	Time	An instance or occurrence of an event.	Other	
375	SNIFF	Sense perception	To make a short, audible inhalation, through the nose, as if to smell something.	Action/Process	
376	FRAGRANT	Sense perception	Sweet-smelling; having a pleasant (usually strong) scent or fragrance.	Property	
377	LOUD	Sense perception	(Of a sound) to have a high volume.	Property	
378	PINCH	Sense perception	To squeeze a small amount of a person's skin and flesh, making it hurt.	Action/Process	
379	BLUNT	Sense perception	Having a thick edge or point, as an instrument; not sharp.	Property	
380	WRINKLED	Sense perception	Uneven, with many furrows and prominent points, often in reference to the skin or hide of animals.	Property	
381	BLAME	Emotions and values	Culpability for something negative or undesirable.	Person/Thing	
382	GOVERN	Social and political relations	To make and administer the public policy and affairs of; to exercise sovereign authority in.	Action/Process	
383	MASTER	Social and political relations	Someone who has control over something or someone; the owner of an animal or slave or someone who employs others.	Person/Thing	
384	FREEMAN	Social and political relations	A free man, one who is not a serf or slave.	Person/Thing	
385	RESPECT (SOMEBODY)	Emotions and values	To have respect for someone or something; to have regard for something, to observe a custom, practice, rule or right.	Action/Process	
386	BATTLE-AXE	Warfare and hunting	An ancient military weapon.	Person/Thing	
387	SLING	Warfare and hunting	An instrument for throwing stones or other missiles, consisting of a short strap with two strings fastened to its ends, or with a string fastened to one end and a light stick to the other.	Person/Thing	
388	FISHNET	Warfare and hunting	A net used to catch fish.	Person/Thing	
389	FISH TRAP	Warfare and hunting	A contraption made of wires, rods, fishing-net or other suitable materials with the purpose of catching fish alive.	Person/Thing	
390	PUNISHMENT	Law	The act or process of punishing, imposing and/or applying a sanction; a penalty to punish wrongdoing, especially for crime.	Person/Thing	
391	BLESS	Religion and belief	To make something blessed; to confer blessing upon.	Action/Process	
392	MAGIC	Religion and belief	The use of rituals or actions, especially based on supernatural or occult knowledge, to manipulate or obtain information about the natural world, especially when seen as falling outside the realm of religion.	Person/Thing	
393	CIRCUMCISION	Religion and belief	The act of excising or amputating the prepuce (the foreskin on penises, the clitoral hood on clitorises)	Person/Thing	
394	SHAMAN (FOLK HEALER)	Religion and belief	A traditional (prescientific) faith healer; a member of certain tribal societies who acts as a religious medium between the concrete and spirit worlds.	Person/Thing	
395	PILL	Modern world	A small, usually cylindrical object designed for easy swallowing, usually containing some sort of medication.	Person/Thing	
396	TABLET	Modern world	A pill; a small, easily swallowed portion of a substance.	Person/Thing	395
397	BIRTH CERTIFICATE	Modern world	official document certifying the details of a person's birth. Name, date, and parents' names are always included; details such as parents' occupation and religion may be included.	Person/Thing	
398	PIERCE	Basic actions and technology	To tab something through something else.	Action/Process	
399	PLANTAIN	Agriculture and vegetation	A kind of banana that is normally cooked and not eaten raw.	Person/Thing	
400	MUSH	The physical world	Soaked clay or soil; very soft ground.	Person/Thing	
401	OPPRESS	Social and political relations	To cause, inflict or threaten with suffering, need, distress, or pain.	Action/Process	
402	SURPASS	Motion	To go beyond a limit.	Action/Process	
403	GARDEN-HOUSE	The house	A small building in a garden, such as a shed, which is not usually build to be inhabitated for long times.	Person/Thing	
404	ALCOHOL (FERMENTED DRINK)	Food and drink	A fermented drink is a beverage containing alcohol because of a metabolic process that converts sugar to acids, gases and/or alcohol (e.g. beer or wine).	Person/Thing	
405	OLDER SIBLING	Kinship	A person who is born before another person who has the same parents.	Person/Thing	
