ID	NUMBER	ENGLISH	SIL_1980_281	SIL_2002_436	MATISOFF_1978_200	SWADESH_1955_100	SWADESH_1952_200	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mann-2004-500-305	305	pillow	---	pillow	---	---	---	1044	PILLOW
Mann-2004-500-306	306	plant	---	plant	---	---	---	1486	PLANT (SOMETHING)
Mann-2004-500-307	307	plate	---	plate	---	---	---	480	PLATE
Mann-2004-500-308	308	play	play	play	---	---	play	1413	PLAY
Mann-2004-500-309	309	poison	---	---	poison	---	---	655	POISON
Mann-2004-500-310	310	porcupine	---	porcupine	---	---	---	2510	PORCUPINE
Mann-2004-500-311	311	pot (cooking)	---	pot	---	---	---	1462	POT
Mann-2004-500-312	312	pound (rice)	---	pound	---	---	---	354	POUND
Mann-2004-500-313	313	pull	pull	pull	---	---	pull	1455	PULL
Mann-2004-500-314	314	pus	---	pus	---	---	---	1808	PUS
Mann-2004-500-315	315	push	push	push	---	---	push	1452	PUSH
Mann-2004-500-316	316	put/place	---	---	put/place	---	---	998	PUT
Mann-2004-500-317	317	rabbit	rabbit	rabbit	---	---	---	1136	RABBIT
Mann-2004-500-318	318	rain	rain	rain	rain (n.)	rain	rain	658	RAIN (PRECIPITATION)
Mann-2004-500-319	319	rainbow	rainbow	rainbow	---	---	---	1733	RAINBOW
Mann-2004-500-320	320	rat	rat	rat	rat/rodent	---	---	1490	RAT
Mann-2004-500-321	321	red	red	red	red	red	red	156	RED
Mann-2004-500-322	322	red pepper	red pepper	red pepper	---	---	---	506	MAIZE
Mann-2004-500-323	323	return	return	return	---	---	---	581	COME BACK
Mann-2004-500-324	324	rib	---	rib	---	---	---	801	RIB
Mann-2004-500-325	325	rice (cooked)	rice (cooked)	cooked rice	rice (cooked)	---	---	1191	COOKED RICE
Mann-2004-500-326	326	rice (in fields)	rice (field)	paddy rice	rice (in fields)	---	---	2026	RICE PLANT
Mann-2004-500-327	327	rice (pounded)	pounded rice	pounded rice	---	---	---	926	RICE
Mann-2004-500-328	328	rice seedling	---	rice seedling	---	---	---	926	RICE
Mann-2004-500-329	329	right(hand)	right (side)	right (side)	right side	---	right (hand)	1019	RIGHT
Mann-2004-500-330	330	ring (finger)	---	ring	---	---	---	1374	RING
Mann-2004-500-331	331	ripe	---	ripe	ripe/well-cooked	---	---	178	RIPE
Mann-2004-500-332	332	river	river	river	river/valley	---	river	666	RIVER
Mann-2004-500-333	333	road (path)	road (path)	road (path)	road	road	road	667	ROAD
Mann-2004-500-334	334	roof	roof	roof	---	---	---	769	ROOF
Mann-2004-500-335	335	root	root	root	root	root	root	670	ROOT
Mann-2004-500-336	336	rope	cord	---	---	---	rope	1218	ROPE
Mann-2004-500-337	337	rotten	rotten	rotten	---	---	rotten	1728	ROTTEN
Mann-2004-500-338	338	round	round	round	round	round	---	1395	ROUND
Mann-2004-500-339	339	rub	rub (scrub)	rub	rub	---	rub	1449	RUB
Mann-2004-500-340	340	run/flee	---	---	run/flee	---	---	2142	RUN AWAY
Mann-2004-500-341	341	saliva	---	saliva	---	---	---	1503	SALIVA
Mann-2004-500-342	342	salt	salt	salt	salt	---	salt	1274	SALT
