ID	NUMBER	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	PERCEPTUAL_DOMINANT	VISUAL_MEAN	HAPTIC_MEAN	AUDITORY_MEAN	GUSTATORY_MEAN	OLFACTORY_MEAN	PERCEPTUAL_EXCLUSIVITY	RANDOM_SET	PARTICIPANTS
Winter-2016-300-184	184	patronize			Auditory	1.2	0.4	1.8	0.2	0.2	0.421052632	yes	5
Winter-2016-300-185	185	paw			Haptic	1.285714286	4.857142857	0	0	0	0.790697674	no	7
Winter-2016-300-186	186	peal			Haptic	2	2.75	0.625	0.25	0.75	0.392156863	no	8
Winter-2016-300-187	187	peep			Visual	3.833333333	0	1.666666667	0	0	0.696969697	no	6
Winter-2016-300-188	188	peer			Visual	4.333333333	0.666666667	0.666666667	0.111111111	0.111111111	0.716981132	no	9
Winter-2016-300-189	189	perceive			Visual	4.166666667	2.5	3.666666667	2.666666667	2.833333333	0.105263158	no	6
Winter-2016-300-190	190	perfume			Olfactory	0.333333333	0.333333333	0.333333333	0.666666667	4.5	0.675675676	no	6
Winter-2016-300-191	191	pet			Haptic	1.166666667	4.666666667	0.333333333	0	0	0.756756757	no	6
Winter-2016-300-192	192	poke			Haptic	1.857142857	4.142857143	0	0	0	0.69047619	no	7
Winter-2016-300-193	193	prattle			Auditory	0	0.25	2	0	0	0.888888889	no	4
Winter-2016-300-194	194	present			Visual	2.857142857	1.142857143	0.857142857	0	0	0.588235294	yes	7
Winter-2016-300-195	195	process			Visual	1.833333333	1.5	1.666666667	0.5	0.5	0.222222222	yes	6
Winter-2016-300-196	196	prohibit			Visual	1.5	1	1	0	0	0.428571429	yes	6
Winter-2016-300-197	197	prove			Auditory	2.428571429	0.428571429	2.571428571	0.428571429	0.428571429	0.340909091	yes	7
Winter-2016-300-198	198	publish			Visual	2.5	2	0.833333333	0	0	0.46875	yes	6
Winter-2016-300-199	199	quack			Auditory	0.166666667	0	2.666666667	0	0	0.941176471	no	6
Winter-2016-300-200	200	question	ASK (INQUIRE)	1309	Auditory	2.2	1.4	3.2	0.4	0.4	0.368421053	yes	5
Winter-2016-300-201	201	rattle			Auditory	2.222222222	2.222222222	3.555555556	0	0	0.444444444	no	9
Winter-2016-300-202	202	reach			Haptic	3.166666667	4	0.333333333	0	0	0.533333333	no	6
Winter-2016-300-203	203	receive			Haptic	1.857142857	3.285714286	1	0.714285714	0.714285714	0.339622642	yes	7
Winter-2016-300-204	204	recognize	RECOGNIZE (SOMEBODY)	2870	Visual	3.666666667	1.5	1.666666667	0.333333333	0.333333333	0.444444444	yes	6
Winter-2016-300-205	205	redecorate			Visual	4.333333333	2.166666667	0	0	0.5	0.619047619	yes	6
Winter-2016-300-206	206	reek			Olfactory	0.333333333	0.111111111	0	0.333333333	4.666666667	0.857142857	no	9
Winter-2016-300-207	207	regard			Visual	3.666666667	0.5	2	0.5	0.166666667	0.512195122	no	6
Winter-2016-300-208	208	reinforce			Haptic	1.333333333	2.833333333	0.666666667	0.333333333	0.166666667	0.5	yes	6
Winter-2016-300-209	209	release	LET GO OR SET FREE	1095	Haptic	0.833333333	2.666666667	0.333333333	0.333333333	0.333333333	0.518518519	yes	6
Winter-2016-300-210	210	relish			Gustatory	0.571428571	1	0.571428571	2	0.714285714	0.294117647	no	7
Winter-2016-300-211	211	remark			Auditory	0.142857143	0	2.714285714	0	0	0.95	no	7
Winter-2016-300-212	212	resemble	RESEMBLE	1777	Visual	4.625	1.875	2.375	1	0.875	0.348837209	no	8
Winter-2016-300-213	213	resonate			Auditory	1	1	3.111111111	0	0.333333333	0.571428571	no	9
Winter-2016-300-214	214	resound			Auditory	0.375	0.125	3.5	0.125	0.125	0.794117647	no	8
Winter-2016-300-215	215	reverberate			Auditory	0	0.285714286	3.428571429	0	0	0.923076923	no	7
Winter-2016-300-216	216	review			Visual	3	0.8	1.8	0.4	0.6	0.393939394	yes	5
Winter-2016-300-217	217	roar			Auditory	0	0.166666667	1.833333333	0	0	0.916666667	no	6
Winter-2016-300-218	218	rub	RUB	1449	Haptic	0.857142857	5	0.142857143	0	0	0.833333333	no	7
Winter-2016-300-219	219	rumble			Auditory	0.666666667	2.333333333	3.166666667	1	0.166666667	0.409090909	no	6
Winter-2016-300-220	220	sample			Gustatory	2	2	1.636363636	3.545454545	2	0.170731707	no	11
Winter-2016-300-221	221	savor			Gustatory	1.909090909	0.909090909	0.363636364	4.636363636	1.818181818	0.443396226	no	11
Winter-2016-300-222	222	savour			Gustatory	1.2	0.8	0.8	4.4	2.6	0.367346939	no	5
Winter-2016-300-223	223	say	SAY	1458	Auditory	1.8	0.6	2.8	1	0.4	0.363636364	yes	5
