ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOSS_IN_DIGITAL_SOURCE
Huber-1992-375-290	158	raíz	root	670	ROOT	RAÍZ_ROOT
Huber-1992-375-291	255	rancho	shelter	1678	HUT	RANCHO_SHELTER
Huber-1992-375-292	118	rata	rat	1490	RAT	RATA_RAT
Huber-1992-375-293	120	ratón	mouse	1491	MOUSE	RATÓN_MOUSE
Huber-1992-375-294	343	recto	straight	1404	STRAIGHT	RECTO_STRAIGHT
Huber-1992-375-295	86	red	fish net	388	FISHNET	RED_FISH NET
Huber-1992-375-296	299	redondo	round	1395	ROUND	REDONDO_ROUND
Huber-1992-375-297	70	relámpago	lightning	1654	LIGHTNING	RELÁMPAGO_LIGHTNING
Huber-1992-375-298	91	remo	paddle	234	PADDLE	REMO_PADDLE
Huber-1992-375-299	49	río	river	666	RIVER	RÍO_RIVER
Huber-1992-375-300	252	rocas	huge rocks			ROCAS GRANDES_HUGE ROCKS
Huber-1992-375-301	27	rodilla	knee	1371	KNEE	RODILLA_KNEE
Huber-1992-375-302	294	rojo	red	156	RED	ROJO_RED
Huber-1992-375-303	249	roza, sementera	corn field	449	CORN FIELD	SEMENTERA DE MAÍZ_CORN FIELD
Huber-1992-375-304	83	roza, sementera	cultivated clearing	212	FIELD	ROZA, SEMENTERA_CULTIVATED CLEARING
Huber-1992-375-305	279	saber	know	1410	KNOW (SOMETHING)	SABER_KNOW
Huber-1992-375-306	115	saíno	collared peccary	435	COLLARED PECCARY	SAÍNO_COLLARED PECCARY
Huber-1992-375-307	179	sal	salt	1274	SALT	SAL_SALT
Huber-1992-375-308	319	saliva	saliva	1503	SALIVA	SALIVA_SALIVA
Huber-1992-375-309	33	sangre	blood	946	BLOOD	SANGRE_BLOOD
Huber-1992-375-310	126	sapo	toad	894	TOAD	SAPO_TOAD
Huber-1992-375-311	157	savia	sap	345	SAP	SAVIA_SAP
Huber-1992-375-312	300	seco	dry	1398	DRY	SECO_DRY
Huber-1992-375-313	159	semilla	seed	714	SEED	SEMILLA_SEED
Huber-1992-375-314	288	sentarse	sit	1649	SIT DOWN	SENTARSE, SENTADO_SIT
Huber-1992-375-315	122	serpiente, culebra	snake	730	SNAKE	SERPIENTE, CULEBRA_SNAKE
