ID	NUMBER	ENGLISH	ENGLISH_FREQUENCY	SPANISH_FREQUENCY	RUSSIAN_FREQUENCY	GREEK_FREQUENCY	PORTUGUESE_FREQUENCY	CHINESE_FREQUENCY	SWAHILI_FREQUENCY	CHILEAN_FREQUENCY	FINNISH_FREQUENCY	ESTONIAN_FREQUENCY	FRENCH_FREQUENCY	TURKISH_FREQUENCY	CZECH_FREQUENCY	POLISH_FREQUENCY	BASQUE_FREQUENCY	MAORI_FREQUENCY	TOK_PISIN_FREQUENCY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Calude-2011-200-52	52	TO FLOW	1.414973348	0.9156791143	1.6116171106	0.7880652526	1.1843759245	1.8252962644	1.4065401804	0.8091854841	0.5035182609	1.8388490907	1.3186892699	2.2278867046	1.4692327425	0.4266919539	2.2299376859	2.2833012287		2003	FLOW
Calude-2011-200-53	53	FLOWER	1.8808135923	2.03964736	2.111027151	1.2346689833	2.1072099696	1.8913143994	1.9493900066	1.959518377	0.7713798933	2.0827853703	1.5126843962	1.7781512504	0.9459607036	1.6779109741	2.1643528558	1.5440680444	1.3852533976	239	FLOWER
Calude-2011-200-54	54	TO FLY	1.9542425094	1.7273977123	1.7428821714	1.9597917062	1.7723217067	2.1635489649	2.0951693514	1.552289581	1.3094986051	2.2741578493	1.1978316933	2.0718820073	1.7131544018	0.5468167528	1.3654879849	2.480006943	1.5401553576	1441	FLY (MOVE THROUGH AIR)
Calude-2011-200-55	55	FOG	1.0413926852	0.7115591316	1.8885725969	0.780239915	0.5536133623	1.5433229006	1.3424226808	1.0271229996	0.9040054586	1.7634279936	1.3134453704	1.4471580313	1.5595475556	0.6915726089	1.6989700043	1.3802112417	0.3640640986	249	FOG
Calude-2011-200-56	56	FOOT	2.3304137733	2.1529175614	2.8647127557	1.9423152818	2.5219222449	2.0674056584	2.5390760988	1.9093182551	1.2236775643	2.6910814921	2.2237813964	1.9395192526	2.4886635056	1.7984511356	2.2380461031	2.1461280357	2.8719199703	1301	FOOT
Calude-2011-200-57	57	FOUR	2.6674529529	2.6088719722	2.4165240143	2.4364601172	2.582845853	2.7007729219	2.6972293428		2.3622677063	2.6053050461	2.4688345304	2.5158738437	2.5925764354	2.3506872608	1.5390760988	2.7860412102	1.7162466167	1500	FOUR
Calude-2011-200-58	58	TO FREEZE	1.3010299957	0.9156791143	1.3531465462	1.4511601386	0.5509074689		1.2671717284	-0.390761424	0.3870126918	1.3010299957	0.0606978404	1.8129133566	0.767897616	0.2902820021	1.3463529745		-	1431	FREEZE
Calude-2011-200-59	59	FRUIT	1.7075701761	1.3550118081	1.5795549604	1.0398772256	1.5426871386	1.5433229006	2.1398790864	1.5395221581	0.579494367	1.7993405495	1.4029488293	1.6766936096	1.6871721046	1.5500924024	1.9768083373	2.6857417386	1.9495248281	1507	FRUIT
Calude-2011-200-60	60	TO GIVE	3.1085650237	3.4244252052	2.7714772399	3.2304890234	3.4138099606	3.0538195704	3.2879136471	3.219077233	2.5045389299	3.3051363189	2.3179798088	1.9294189257	3.0700563468	2.402223159	3.5310444053		3.2794639338	1447	GIVE
Calude-2011-200-61	61	GOOD	3.1058506744	3.3862628433	2.9163907738	3.1360918109	3.0476036555	3.1384574374	2.9614210941	2.2219298104	2.6211306957	3.0107238654	2.5726160597	2.9544837172	3.0131744099	2.7501534088	3.0840755678	3.3374592613	3.4012913331	1035	GOOD
Calude-2011-200-62	62	GRASS	1.6532125138	0.8998848471	2.1498039382	0.4647588622	1.0492180227	1.7845459741	1.5378190951	0.8546433579	0.5575000733	1.7403626895	1.7248490876	1	1.8607571231	1.4205424843	1.946452265	1.6720978579	2.796231368	606	GRASS
Calude-2011-200-63	63	GREEN	2.0043213738	1.7695510786	2.3132131782	1.997867404	2.0713910016	1.8317418336	0	1.8941436894	1.3318748262	2.1818435879	1.793441133	2.3096301674	2.1708775073	1.9401621757	1.9365137425	0.903089987	1.4054567837	1425	GREEN
Calude-2011-200-64	64	GUTS	0.6989700043	0.7356928114	1.3891660844	0.6242084499	0.982271233		0.4771212547	0.0627908299	-0.0502370509	0.903089987	0.9047155453	1.8195439355	2.2153996011	0.2253092817	1.7543483357	1.8808135923		1334	GUTS
Calude-2011-200-65	65	HAIR	2.1760912591	1.8405119944	2.2481940379	1.3263336953	2.1143143856	1.7773543131	1.9294189257	1.4768960066	1.1679389962	1.5440680444	2.1399105559	3.5198279938	2.253386473	1.7192576091	2.0777311797	1.7708520116	2.7970333894	1040	HAIR
Calude-2011-200-66	66	HAND	2.7259116323	2.6495066637	3.2486009447	2.4064122443	2.9169683632	2.5370253106	3.0443437349	2.400453559	1.6295732314	3.1486026548	2.6729102448	2.3710678623	2.9303427343	2.6070091809	2.8837749614	2.3263358609	3.066494635	1277	HAND
Calude-2011-200-67	67	HE	3.9278321329	3.0797662978	4.278118152	2.5904479857	3.6245960406	3.7699124784	2.9362623419	5.0152408345	3.6090835429	4.228785201	4.074507426	3.2262131207	4.0820022167	3.3334347347	3.9384796962	3.593286067	4.7226460953	1211	HE
Calude-2011-200-68	68	HEAD	2.6042260531	2.2906891623	3.0464444352	1.875567797	2.615669545	2.5190400386	2.693287157	2.0557859283	1.6753307219	3.097951071	2.6975867473	3.2309595557	2.8368871938	2.413012748	2.9787281771	1.69019608	3.0936338249	1256	HEAD
Calude-2011-200-69	69	TO HEAR	2.5646660643	2.6733191211	2.539163953	2.6081258978	1.8399666069	2.0561040974	2.778874472	1.5609687949	1.6546356353	2.8318697743	2.0255106729	1.096910013	2.5470975149	2.1226235777	2.9023293059	3.0153597554	3.405061791	1408	HEAR
Calude-2011-200-70	70	HEART	2.1818435879	2.0272296535	2.4482888257	1.8596842901	2.6161369555	2.4525224241	2.8363241157	1.9056040171	1.4605900603	2.4377505628	2.4335458306	1.7817553747	2.3341721727	2.0875290311	2.7336786557	1.9867717343	2.6347429347	1223	HEART
Calude-2011-200-71	71	HEAVY	2.0211892991	1.5138440617	2.3910763181	1.9595827601	1.4433499246	2.2347450006	2.4073909045	1.4971754635	1.3421821909	2.6875289612	1.6490426341	2.428134794	2.3985475957	1.9473792547	1.8020892579	1.5185139399	2.0220754952	1210	HEAVY
Calude-2011-200-72	72	HERE	2.8444771757	3.1580519173	2.9671546868	2.8303735025	2.8965629583	2.5846703845	3.0620175989	2.4108484387	2.7153922952	3.0588054867	2.6219029609	2.5658478187	3.0681747258	2.9607117211	2.0849335749	3.3684728384	2.7035155399	136	HERE
Calude-2011-200-73	73	TO HIT	2.0293837777	1.6474980303	2.0269008089	2.0151251668	2.2586372827	2.6119886881	3.1636085634	1.6250150438	1.103978639	2.726727209	1.3207692283	0.6989700043	1.4229179808	1.3365931372	2.9040660519	2.3541084391	2.667260156	1433	HIT
Calude-2011-200-74	74	HOLD (IN HAND)	2.6821450764	1.8541273566	2.4262997556	2.4184931276	1.6778096573	2.3757915977	2.819872822	2.4188130078	2.8441956166	3.6062738532	2.0137638547	1.3710678623	2.3625201723	1.9958301203	2.3100557378	2.318063335	2.8490753131	1448	HOLD
Calude-2011-200-75	75	HOW	3.0068937079	3.081516739	3.8552549855	2.6304515827	3.7262543611	2.566237093	2.1746411927	2.472564687	2.757973922	3.079181246	2.4875625603	3.1673173347	3.4264738486	3.4759519123	2.9427023689	3.0322157033	2.4074263766	1239	HOW
Calude-2011-200-76	76	TO HUNT (GAME)	1.1760912591	1.2049175852	1.2000292666	1.5392893512	1.3048733347	1.9076800242	2.2027606874	0.6243967005	0.3144620246	0.6020599913	1.1139433523	1	1.2984163801	1.2282292082	2.2823955047	2.1335389084		1435	HUNT
Calude-2011-200-77	77	HUSBAND	2.0899051114	2.1009783751	2.355183236	2.2817224299	2.3205616802	2.400434368	1.9138138524	1.6141000441	2.7114534465	3.381295623	1.8382822499	2.0128372247	2.8886118876	2.0058380364	2.0806264869	2.591064607	0.7620041072	1200	HUSBAND
Calude-2011-200-78	78	I	4.0103423661	3.7774481464	4.182629749	2.6342255707	3.3905190523	3.7455307176	2.458637849	3.4729679397	2.9216244951	4.0418267626	3.7911578029	3.1665781099	3.8069725164	3.338213823	3.4562445352	3.7263196121	3.7859147136	1209	I
Calude-2011-200-79	79	ICE	1.6127838567	1.2128140661	1.7930216598	1.6134449986	1.2270292621	1.4141373622	0.84509804	1.2273152644	2.3784943601	1.9242792861	1.6898414091	1.6434526765	1.78518742	1.5108130105	1.50242712	1.1461280357	0.9661240899	617	ICE
Calude-2011-200-80	80	IF	3.3745650607	3.5482629307	3.2965993831	3.3987178124	3.9683563257	2.7780788619	2.6789733759	3.2638737282	3.2466243472	3.9344984512	3.3174302236	2.8202014595	3.0937052849	3.0421815945	2.4805817868	2.8926510339	3.0296450896	1459	IF
Calude-2011-200-81	81	IN	4.2604053322	4.3552119887	4.4466238309	3.9006702541	4.076349927	4.0170755139	4.0683343131	4.4529189658		2.2988530764	3.8685133663		4.3707805785	4.0845540364		4.7782019151	3.3771120947	1460	IN
Calude-2011-200-82	82	TO KILL	2.1958996524	2.2147659547	1.8375253094	1.921490098	2.4325060814	1.9022749205	2.8112397728	1.8677293082	1.3785795243	2.1105897103	1.6322547767	2.2741578493	2.0866089446	1.4315067182	2.952792443	2.1846914308	3.3590407722	1417	KILL
