ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CATEGORY
BirketSmith-1928-510-383	383	I	1209	I	Pronouns
BirketSmith-1928-510-384	384	You (sing.)	1215	THOU	Pronouns
BirketSmith-1928-510-385	385	He, she it	262	HE OR SHE OR IT	Pronouns
BirketSmith-1928-510-386	386	We (dual.)	2634	WE TWO	Pronouns
BirketSmith-1928-510-387	387	We (plur.)	1212	WE	Pronouns
BirketSmith-1928-510-388	388	You (dual.)	2111	YOU TWO	Pronouns
BirketSmith-1928-510-389	389	You (plur.)	1213	YOU	Pronouns
BirketSmith-1928-510-390	390	They (dual. & plur.)	817	THEY	Pronouns
BirketSmith-1928-510-391	391	This	1214	THIS	Pronouns
BirketSmith-1928-510-392	392	These (dual. & plur.)	3984	THESE	Pronouns
BirketSmith-1928-510-393	393	Who	1235	WHO	Pronouns
BirketSmith-1928-510-394	394	What	1236	WHAT	Pronouns
BirketSmith-1928-510-395	395	One	1493	ONE	Numerals
BirketSmith-1928-510-396	396	Two	1498	TWO	Numerals
BirketSmith-1928-510-397	397	Three	492	THREE	Numerals
BirketSmith-1928-510-398	398	Four	1500	FOUR	Numerals
BirketSmith-1928-510-399	399	Five	493	FIVE	Numerals
BirketSmith-1928-510-400	400	Six	1703	SIX	Numerals
BirketSmith-1928-510-401	401	Seven	1704	SEVEN	Numerals
BirketSmith-1928-510-402	402	Eight	1705	EIGHT	Numerals
